OID,n,lat,lon,z
141,352,53.5802452,103.4570452,405.704
142,353,53.58024318,103.4570226,405.707
143,354,53.58025655,103.4570077,405.69
144,355,53.58028626,103.457028,405.255
145,356,53.58032171,103.4570089,405.022
146,357,53.58031789,103.4570543,403.382
147,358,53.58028354,103.4570457,403.951
148,359,53.58024717,103.4570252,404.757
149,360,53.58036653,103.4568139,405.422
150,361,53.5804177,103.4565117,405.667
151,362,53.58040054,103.4564769,405.859
152,363,53.58040502,103.4564368,405.882
153,364,53.58043009,103.4564226,405.642
154,365,53.58043015,103.4564574,404.181
155,366,53.58040598,103.4564572,404.98
156,367,53.58043045,103.4563682,405.671
157,368,53.58041484,103.4563544,405.916
158,369,53.58040477,103.4563148,405.937
159,370,53.58039577,103.4563082,406.073
160,371,53.58040007,103.4562974,405.885
161,372,53.58041193,103.4562728,406.027
162,373,53.58046976,103.4562803,405.497
163,374,53.58040053,103.4563051,404.717
164,375,53.58042044,103.4563139,404.15
165,376,53.58043693,103.4563229,403.478
166,377,53.58045446,103.4563333,402.524
167,378,53.58051382,103.4560717,405.773
168,378/1,53.58043693,103.4563411,405.773
169,378/2,53.58045446,103.4559136,405.773
170,379,53.58055769,103.4559136,405.719
171,380,53.58059448,103.4556971,405.894
172,381,53.58061626,103.4554986,405.97
173,382,53.58064226,103.4553703,405.755
174,383,53.58061019,103.45533,406.049
175,384,53.58061786,103.4553031,406.006
176,385,53.58064944,103.4553005,405.861
177,386,53.58065019,103.4553487,403.562
178,387,53.5806199,103.4553322,405.233
179,388,53.58072785,103.4549261,405.719
180,389,53.58068307,103.4548832,406.22
181,390,53.58060527,103.4548558,406.733
182,391,53.58060841,103.4548239,406.743
183,392,53.58062545,103.4548049,406.593
184,393,53.58065416,103.4548227,406.436
185,394,53.58066051,103.4547973,406.446
186,395,53.58069986,103.4547825,406.321
187,396,53.58073648,103.4547955,406.003
188,397,53.58061301,103.4548412,406.326
189,398,53.58064605,103.4548477,405.215
190,399,53.58067618,103.4548483,404.487
191,400,53.58072718,103.4548437,402.961
192,401,53.580755,103.4548492,401.691
193,402,53.58081014,103.4545568,405.648
194,403,53.58076162,103.4545258,406.024
195,404,53.58076792,103.4544832,406.033
196,405,53.58080775,103.4544809,405.699
197,406,53.58080361,103.4544345,405.843
198,407,53.58082134,103.45441,405.705
199,408,53.58084407,103.4544047,405.558
200,409,53.58081616,103.4544287,405.243
201,410,53.58083812,103.4544577,404.552
202,411,53.58077813,103.4545069,405.13
203,412,53.58080587,103.45451,404.407
204,413,53.58082571,103.4545139,403.412
205,414,53.58090142,103.4540492,405.552
206,415,53.58095874,103.4537739,403.917
207,416,53.58100529,103.4536824,402.748
208,417,53.58087446,103.4536172,402.883
209,418,53.58100785,103.4535808,401.689
